gender,race/ethnicity,parental level of education,lunch,test preparation course,m1 score,m2 score,physics score,m3 score,m4 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score
female,group D,bachelor's degree,standard,completed,71,76,83,39,97,63,50,63,42,58,57,48,65,67,57,48,46,71,49,44,90
male,group E,bachelor's degree,standard,completed,76,62,66,70,57,81,57,53,71,61,56,51,47,79,83,68,94,75,48,66,74
male,group D,associate's degree,standard,none,80,68,72,79,54,51,42,94,83,56,51,99,88,60,53,66,79,39,100,57,69
female,group D,master's degree,standard,none,55,64,70,92,71,76,57,95,48,44,56,66,73,50,74,100,89,89,58,54,83
male,group E,associate's degree,standard,none,76,71,67,61,61,95,83,77,58,98,46,85,90,35,59,53,51,52,81,78,82
male,group B,high school,standard,completed,73,71,68,97,89,76,82,60,93,41,43,46,90,88,87,47,79,55,69,80,62
female,group D,associate's degree,free/reduced,none,52,59,56,65,78,53,91,55,65,40,95,74,45,67,87,86,77,65,98,78,96
male,group C,some college,free/reduced,none,68,68,61,62,61,39,51,41,65,85,98,90,53,50,71,93,66,95,94,48,66
male,group A,high school,standard,none,59,52,46,63,60,77,97,89,78,87,54,38,85,43,60,87,38,80,41,55,36
female,group B,associate's degree,standard,none,49,52,54,56,97,75,61,55,39,60,37,38,88,58,69,79,57,43,61,57,59
male,group C,high school,standard,none,70,74,71,85,56,80,94,40,96,94,95,64,44,67,58,47,57,73,88,99,62
male,group D,some college,free/reduced,none,61,47,56,50,56,72,58,99,59,35,57,96,99,46,79,37,74,67,78,67,48
female,group C,associate's degree,free/reduced,none,60,75,74,45,46,92,35,99,76,84,51,62,68,92,95,65,96,53,97,59,99
male,group B,some high school,standard,completed,64,53,57,80,85,48,99,55,76,54,58,96,83,77,36,100,79,71,97,77,66
male,group A,associate's degree,free/reduced,completed,79,82,82,38,83,90,41,61,36,82,84,94,69,35,70,75,82,93,50,93,66
female,group A,associate's degree,free/reduced,none,65,85,76,96,92,85,70,98,38,100,87,54,95,38,71,76,66,54,53,67,47
female,group C,associate's degree,standard,none,64,64,70,96,78,78,99,47,87,96,86,37,59,64,78,53,45,97,68,41,66
female,group C,some college,standard,none,83,83,90,68,74,48,97,41,38,89,36,94,83,38,80,40,93,36,80,38,56
female,group C,bachelor's degree,standard,none,81,88,90,37,96,87,100,50,74,56,37,93,92,93,85,39,95,46,51,94,73
female,group B,high school,standard,none,54,64,68,40,72,66,96,37,43,71,52,45,92,36,70,42,72,52,70,43,100
male,group D,high school,standard,completed,68,64,66,95,36,73,36,84,51,48,77,35,89,38,86,96,38,75,43,59,85
female,group C,some college,standard,none,54,48,52,63,58,51,79,43,79,41,66,45,93,45,81,40,45,51,72,84,92
female,group D,some college,free/reduced,completed,59,78,76,95,64,51,77,51,58,40,61,96,38,76,98,47,55,79,98,64,84
female,group B,some high school,standard,none,66,69,68,50,64,84,84,44,62,44,57,64,91,77,41,65,68,41,36,53,76
male,group E,some college,standard,none,76,71,72,98,93,81,60,40,42,90,46,87,64,56,77,39,70,94,37,85,88
female,group D,master's degree,standard,none,74,79,82,62,37,81,86,100,97,77,51,46,98,86,100,96,98,42,74,80,35
female,group B,associate's degree,standard,completed,94,87,92,48,55,49,73,51,43,91,77,93,65,41,51,57,96,88,68,68,73
male,group C,some college,free/reduced,none,63,61,54,36,79,45,74,61,97,54,59,84,35,81,37,64,87,99,46,73,77
female,group E,associate's degree,standard,completed,95,89,92,44,75,89,75,84,97,46,57,65,97,89,81,95,75,42,83,94,97
female,group D,master's degree,free/reduced,none,40,59,54,95,84,63,78,42,78,58,40,50,94,70,100,73,79,49,96,62,69
female,group B,some high school,standard,none,82,82,80,52,41,89,92,70,56,48,49,72,58,53,80,40,100,62,59,42,91
male,group A,high school,standard,none,68,70,66,58,57,99,44,99,87,52,45,92,54,44,75,39,100,77,88,57,78
male,group B,bachelor's degree,free/reduced,none,55,59,54,52,65,82,45,53,71,48,63,55,42,59,93,55,69,39,43,91,68
male,group C,master's degree,standard,none,79,78,77,38,50,84,94,71,49,72,83,67,82,85,96,38,44,87,52,46,51
female,group C,bachelor's degree,standard,none,86,92,87,54,99,86,46,93,74,37,40,61,48,87,47,91,40,66,65,49,56
male,group D,some college,standard,none,76,71,73,88,43,68,40,91,52,70,93,45,91,42,91,78,38,77,69,35,64
male,group A,some high school,standard,none,64,50,43,46,94,91,55,70,42,91,60,98,54,55,73,95,66,95,100,91,80
male,group D,some high school,free/reduced,none,62,49,52,52,39,71,56,77,49,76,84,42,79,88,71,96,66,55,54,36,77
female,group B,some high school,standard,completed,54,61,62,62,94,67,47,36,52,56,56,36,93,56,65,49,69,66,79,93,52
female,group B,master's degree,free/reduced,completed,77,97,94,72,74,43,37,39,63,76,64,39,86,45,81,56,48,51,97,48,96
female,group C,some high school,standard,completed,76,87,85,85,48,90,95,76,53,46,75,37,69,89,51,48,50,71,72,91,100
female,group D,some college,standard,none,74,89,84,83,37,69,67,90,100,68,92,49,93,36,77,60,38,37,43,98,56
female,group E,some college,standard,completed,66,74,73,38,66,96,96,88,88,66,54,43,95,67,62,94,90,45,87,90,91
female,group D,some high school,standard,completed,66,78,78,65,100,69,78,47,41,94,39,48,95,59,87,93,78,57,76,56,69
female,group B,high school,free/reduced,completed,67,78,79,85,45,91,81,90,87,73,100,93,90,93,54,72,38,100,51,61,80
male,group D,some college,standard,none,71,49,52,54,35,36,94,80,74,78,85,76,92,43,81,71,73,75,83,62,35
female,group C,associate's degree,standard,none,91,86,84,96,51,71,80,84,73,75,42,47,59,75,57,62,48,40,91,66,70
male,group D,bachelor's degree,standard,none,69,58,57,44,43,49,100,92,81,73,40,77,40,79,43,68,88,68,86,44,83
male,group C,master's degree,free/reduced,none,54,59,50,35,65,54,96,95,90,46,94,100,45,71,73,65,67,81,88,37,57
male,group C,high school,standard,completed,53,52,49,45,92,88,78,51,89,42,69,79,75,69,72,94,82,35,74,60,90
male,group E,some college,standard,none,68,60,59,42,50,37,78,48,75,77,83,90,36,52,100,54,76,49,65,54,96
male,group C,some high school,free/reduced,completed,56,61,60,66,71,75,49,39,85,61,48,40,62,79,84,59,94,90,61,42,88
female,group C,high school,free/reduced,none,36,53,43,69,55,79,70,90,38,72,90,41,81,82,82,83,68,40,69,43,59
female,group D,bachelor's degree,free/reduced,none,29,41,47,48,85,94,81,99,85,55,84,70,99,95,92,45,71,80,69,54,59
female,group C,associate's degree,standard,none,62,74,70,100,52,72,76,68,97,41,93,39,86,99,44,100,97,92,82,47,88
female,group C,associate's degree,standard,completed,68,67,73,60,44,86,96,100,84,36,79,58,35,95,50,69,53,63,73,39,38
female,group C,some high school,standard,none,47,54,53,85,92,81,63,86,96,88,35,48,100,60,42,48,66,56,100,92,100
male,group E,associate's degree,standard,completed,62,61,58,96,41,39,61,40,53,60,62,38,94,56,80,71,95,91,43,49,68
female,group E,associate's degree,standard,completed,79,88,94,63,40,98,38,36,41,100,86,52,76,38,67,96,37,49,73,97,72
male,group B,high school,standard,completed,73,69,68,36,86,95,82,95,75,74,35,60,38,49,74,58,72,64,85,81,40
female,group C,bachelor's degree,free/reduced,completed,66,83,83,86,44,80,48,95,49,56,76,85,91,41,57,61,46,60,93,93,51
male,group C,associate's degree,standard,completed,51,60,58,51,93,97,89,38,65,88,93,77,62,46,76,77,66,100,51,38,35
female,group D,high school,standard,none,51,66,62,37,65,90,70,84,67,49,41,46,69,71,81,65,83,62,93,35,80
male,group E,bachelor's degree,standard,completed,85,66,71,95,82,52,94,80,55,43,61,57,42,73,42,71,77,48,59,35,95
male,group A,associate's degree,standard,completed,97,92,86,48,36,97,68,64,54,90,49,37,93,59,61,95,100,98,79,70,93
male,group C,high school,standard,completed,75,69,68,67,61,74,42,59,78,73,57,99,67,50,66,100,95,42,75,92,79
male,group D,associate's degree,free/reduced,completed,79,82,80,70,96,71,75,95,98,44,97,97,97,36,51,70,69,47,67,57,65
female,group C,associate's degree,standard,none,81,77,79,59,100,89,55,44,36,42,96,90,43,91,89,73,37,82,45,53,94
female,group D,associate's degree,standard,none,82,95,89,54,79,87,41,73,78,39,84,49,60,89,93,84,77,70,96,42,42
female,group D,master's degree,standard,none,64,63,66,91,59,41,80,40,92,67,45,80,57,69,89,67,81,60,55,65,47
male,group E,some high school,free/reduced,completed,78,83,80,76,73,91,45,88,74,75,76,37,49,53,49,68,86,42,37,100,39
female,group A,some high school,standard,completed,92,100,97,65,79,37,88,41,38,35,35,56,63,99,35,76,43,88,42,87,87
male,group C,high school,standard,completed,72,67,64,54,82,55,98,89,56,49,81,91,86,74,92,88,69,89,47,47,88
female,group C,high school,free/reduced,none,62,67,64,70,90,69,53,73,69,99,67,90,74,61,66,38,56,51,36,88,99
male,group C,master's degree,standard,none,79,72,69,94,45,50,94,81,83,60,61,76,74,69,39,42,50,56,62,73,60
male,group C,some high school,free/reduced,none,79,76,65,45,46,70,87,63,55,54,95,99,85,85,88,41,69,55,80,37,72
male,group B,bachelor's degree,free/reduced,completed,87,90,88,53,63,91,53,77,55,84,58,77,87,62,76,39,100,67,36,40,68
female,group B,associate's degree,standard,none,40,48,50,78,85,42,36,76,37,84,44,62,66,73,71,86,88,93,37,98,37
male,group D,some college,free/reduced,none,77,62,64,74,70,62,98,78,76,77,83,73,86,60,61,92,36,36,38,89,64
male,group E,associate's degree,standard,none,53,45,40,81,68,65,84,74,44,57,56,98,49,60,75,79,40,55,92,39,67
female,group C,some college,free/reduced,none,32,39,33,80,57,51,98,46,88,42,72,77,49,93,98,58,83,78,35,47,46
female,group C,associate's degree,standard,completed,55,72,79,83,94,37,96,79,60,42,88,80,99,72,74,44,50,89,54,82,59
male,group C,master's degree,free/reduced,none,61,67,66,48,39,80,57,73,53,52,62,74,66,36,91,57,52,45,50,36,58
female,group B,associate's degree,free/reduced,none,53,70,70,100,74,94,94,59,93,49,100,64,65,91,48,81,92,73,54,62,99
male,group D,some high school,standard,none,73,66,62,67,90,97,40,80,82,42,62,78,86,64,88,86,76,78,88,61,97
female,group D,some college,standard,completed,74,75,79,35,62,69,87,97,97,75,92,58,70,39,39,83,47,51,55,88,47
female,group C,some college,standard,none,63,74,74,63,75,86,74,85,56,98,35,73,35,37,92,78,57,51,69,85,35
male,group C,bachelor's degree,standard,completed,96,90,92,83,87,78,52,92,49,38,45,47,72,70,68,65,85,37,53,77,95
female,group D,some college,free/reduced,completed,63,80,80,91,71,62,73,44,59,51,100,97,71,88,88,40,93,51,63,42,89
male,group B,bachelor's degree,free/reduced,none,48,51,46,48,54,62,40,90,43,83,68,99,92,43,97,59,70,85,74,86,71
male,group B,associate's degree,standard,none,48,43,45,86,39,77,64,88,39,63,38,74,52,87,92,89,35,45,85,79,96
female,group E,bachelor's degree,free/reduced,completed,92,100,100,85,46,45,86,39,60,94,59,56,82,50,79,66,66,74,82,66,74
female,group D,master's degree,free/reduced,completed,61,71,78,63,77,43,91,85,100,56,54,86,38,73,71,63,63,92,61,65,67
male,group B,high school,free/reduced,none,63,48,47,60,82,80,66,67,68,58,38,82,89,42,70,89,37,44,86,75,86
male,group D,bachelor's degree,free/reduced,none,68,68,67,97,83,55,87,79,39,100,41,39,58,96,47,60,46,44,40,76,47
male,group B,some college,standard,completed,71,75,70,67,72,60,51,48,79,35,79,84,43,56,68,35,67,54,37,44,64
male,group A,bachelor's degree,standard,none,91,96,92,88,55,52,43,71,99,95,54,78,72,93,85,78,79,36,61,85,63
female,group C,some college,standard,none,53,62,56,35,80,44,36,85,80,58,54,89,57,90,68,66,71,53,84,79,85
female,group C,high school,free/reduced,completed,50,66,64,84,36,73,73,50,82,78,87,83,78,64,85,55,38,81,51,96,43
female,group E,high school,standard,none,74,81,71,68,96,41,58,47,36,90,59,42,46,54,91,49,88,81,77,45,48
male,group A,associate's degree,free/reduced,completed,40,55,53,81,58,51,91,56,40,80,51,86,88,88,98,84,60,78,86,55,39
male,group A,some college,standard,completed,61,51,52,52,78,62,52,92,96,91,74,39,54,60,90,72,94,35,65,92,55
female,group B,high school,standard,none,81,91,89,43,35,56,53,76,91,60,53,92,68,44,49,73,87,100,37,57,49
female,group B,some college,free/reduced,completed,48,56,58,94,40,74,91,62,56,73,98,73,77,58,49,97,81,39,83,96,47
female,group D,master's degree,standard,none,53,61,68,99,44,99,65,61,48,68,40,57,85,37,38,49,96,45,79,98,92
female,group D,some high school,standard,none,81,97,96,65,44,38,74,66,61,66,36,47,52,66,51,86,80,96,44,83,86
female,group E,some high school,standard,none,77,79,80,75,47,80,39,48,59,36,70,85,53,45,49,72,38,78,62,98,75
female,group D,bachelor's degree,free/reduced,none,63,73,78,86,54,37,93,100,94,76,86,76,68,36,84,91,99,66,56,90,88
female,group D,associate's degree,standard,completed,73,75,80,71,80,99,47,64,41,97,61,90,41,55,89,70,67,60,97,55,40
female,group D,some college,standard,none,69,77,77,96,48,63,84,92,53,37,67,45,91,63,42,76,70,54,43,35,94
female,group C,associate's degree,standard,none,65,76,76,58,48,58,40,93,47,52,91,99,95,85,37,45,96,79,97,60,95
female,group A,high school,standard,none,55,73,73,95,82,97,93,37,58,67,61,70,74,37,65,57,47,52,76,69,79
female,group C,bachelor's degree,free/reduced,none,44,63,62,78,77,35,93,75,76,78,46,49,99,37,74,92,84,85,37,52,47
female,group C,some college,standard,none,54,64,65,77,77,63,53,79,75,56,39,67,99,36,46,71,74,55,74,95,66
female,group A,some high school,standard,none,48,66,65,59,62,83,99,58,55,57,52,73,39,96,71,64,51,46,70,63,61
male,group C,some college,free/reduced,none,58,57,54,75,72,50,62,82,74,40,44,75,41,89,46,83,98,57,73,84,62
male,group A,some high school,standard,none,71,62,50,56,46,98,90,53,95,70,79,83,83,78,56,88,54,73,56,50,85
male,group E,bachelor's degree,standard,none,68,68,64,84,38,66,60,43,50,96,81,62,50,87,60,87,63,85,92,49,54
female,group E,high school,standard,none,74,76,73,83,84,79,100,42,70,82,70,37,46,97,58,46,48,82,65,87,71
female,group C,bachelor's degree,standard,completed,92,100,99,52,50,48,52,43,87,54,97,96,86,60,89,60,59,99,87,100,81
female,group C,bachelor's degree,standard,completed,56,79,72,76,62,91,52,41,90,91,80,81,91,62,94,77,74,78,97,67,71
male,group B,high school,free/reduced,none,30,24,15,67,45,43,56,91,38,60,99,43,64,86,82,78,54,88,98,84,69
male,group A,some high school,standard,none,53,54,48,35,97,45,44,84,57,84,57,43,75,66,82,67,91,45,53,96,89
female,group D,high school,standard,none,69,77,73,42,45,44,56,35,76,58,65,59,62,68,84,96,97,70,57,75,86
female,group D,some high school,standard,none,65,82,81,61,72,61,92,89,82,74,54,80,60,71,66,79,72,54,87,49,94
female,group D,master's degree,standard,none,54,60,63,57,46,61,65,88,38,90,85,81,86,59,92,53,78,99,78,91,55
female,group C,high school,standard,none,29,29,30,90,64,42,51,63,88,93,64,85,58,77,56,68,86,55,41,51,98
female,group E,some college,standard,none,76,78,80,47,97,69,40,54,37,53,56,53,86,56,51,73,89,43,49,42,61
male,group D,high school,free/reduced,none,60,57,51,60,41,66,74,69,83,89,96,81,66,54,35,60,82,48,50,55,87
male,group D,master's degree,free/reduced,completed,84,89,90,49,92,82,73,77,54,59,95,67,38,42,41,75,78,42,67,49,73
male,group C,some high school,standard,none,75,72,62,85,55,36,93,98,73,61,56,45,92,36,56,87,43,98,61,77,43
female,group C,associate's degree,standard,none,85,84,82,67,100,35,96,77,50,72,87,92,36,98,92,61,44,86,56,48,45
female,group C,master's degree,free/reduced,none,40,58,54,93,72,61,72,86,38,89,43,60,99,91,70,68,79,71,35,42,53
female,group E,some college,standard,none,61,64,62,50,90,80,100,88,94,51,50,81,46,68,70,83,55,82,97,83,36
female,group B,associate's degree,standard,none,58,63,65,70,89,51,63,74,65,51,47,70,51,84,90,93,89,88,48,67,87
male,group D,some college,free/reduced,completed,69,60,63,88,73,71,73,66,100,94,49,42,70,84,75,92,75,52,54,60,68
female,group C,some college,standard,none,58,59,66,71,95,95,85,55,52,45,66,62,93,78,75,56,70,79,41,64,94
male,group C,bachelor's degree,standard,completed,94,90,91,55,99,74,72,38,38,40,63,94,36,41,38,90,41,81,38,76,86
female,group C,associate's degree,standard,none,65,77,74,72,37,51,99,68,92,77,66,88,87,93,46,56,64,82,55,93,49
female,group A,associate's degree,standard,none,82,93,93,89,75,67,44,61,39,60,48,41,69,95,58,48,92,45,68,48,39
female,group C,high school,standard,none,60,68,72,84,57,37,96,94,77,42,73,70,60,50,40,89,41,84,66,81,63
female,group E,bachelor's degree,standard,none,37,45,38,64,56,37,94,45,43,77,88,65,93,63,44,81,50,90,50,90,67
male,group D,bachelor's degree,standard,none,88,78,83,51,45,94,75,87,66,80,72,78,70,39,60,87,57,37,36,92,93
male,group D,master's degree,standard,none,95,81,84,62,92,68,85,89,65,82,45,87,91,44,55,47,41,89,50,85,95
male,group C,associate's degree,free/reduced,completed,65,73,68,87,47,78,91,68,71,96,98,93,87,74,44,62,61,84,54,100,43
female,group C,high school,free/reduced,none,35,61,54,86,72,45,37,39,81,71,95,36,60,81,69,54,66,41,36,57,73
male,group B,bachelor's degree,free/reduced,none,62,63,56,53,63,84,56,42,71,95,88,92,59,94,80,68,89,97,69,80,41
male,group C,high school,free/reduced,completed,58,51,52,45,80,67,98,47,43,51,85,86,96,52,98,68,39,88,73,86,94
male,group A,some college,standard,completed,100,96,86,88,52,41,97,57,84,40,63,76,61,41,48,61,73,58,85,54,47
female,group E,bachelor's degree,free/reduced,none,61,58,62,66,38,63,55,91,41,51,58,87,71,52,74,89,68,98,89,38,38
male,group D,some college,standard,completed,100,97,99,53,45,94,80,74,35,75,62,36,87,70,49,86,74,49,88,61,89
male,group B,associate's degree,free/reduced,completed,69,70,63,71,85,36,97,52,91,94,75,60,82,92,38,97,64,53,90,60,58
male,group D,associate's degree,standard,none,61,48,46,39,70,44,76,83,72,59,40,35,48,97,47,60,57,71,78,63,43
male,group D,some college,free/reduced,none,49,57,46,42,40,91,90,97,67,45,65,43,73,35,81,62,45,45,40,66,94
female,group C,some high school,standard,completed,44,51,55,48,98,87,94,63,39,57,81,87,71,74,91,62,73,85,87,60,61
male,group D,some college,standard,none,67,64,70,67,97,96,61,47,80,61,90,57,38,79,70,82,39,93,48,73,79
male,group B,high school,standard,none,79,60,65,44,66,64,53,69,54,56,45,55,98,40,49,52,66,59,68,47,65
female,group B,bachelor's degree,standard,completed,66,74,81,54,76,49,35,88,98,76,75,77,48,71,98,58,39,69,64,47,50
female,group C,high school,standard,none,75,88,85,74,55,49,36,65,38,97,94,66,69,54,49,74,37,83,37,82,80
male,group D,some high school,standard,none,84,84,80,98,73,100,97,60,51,39,80,86,96,100,63,35,76,35,52,91,66
male,group A,high school,standard,none,71,74,64,50,97,99,65,37,98,79,59,60,47,92,82,79,41,80,75,83,72
female,group B,high school,free/reduced,completed,67,80,81,58,36,66,62,94,96,43,61,93,78,89,38,60,66,35,83,75,80
female,group D,some high school,standard,completed,80,92,88,55,96,46,55,71,86,41,49,71,77,57,44,37,68,57,58,49,79
male,group E,some college,standard,none,86,76,74,98,76,97,98,67,65,71,53,55,60,76,47,59,90,52,60,69,72
female,group D,associate's degree,standard,none,76,74,73,54,87,51,86,100,72,71,53,89,86,94,71,86,82,47,74,70,93
male,group D,high school,standard,none,41,52,51,81,42,82,36,64,89,38,89,54,47,50,65,71,46,85,35,46,59
female,group D,associate's degree,free/reduced,completed,74,88,90,76,88,60,43,69,70,41,42,57,95,40,100,88,93,56,92,81,92
female,group B,some high school,free/reduced,none,72,81,79,47,76,47,54,92,93,91,35,69,53,94,87,72,44,95,45,79,90
female,group E,high school,standard,completed,74,79,80,39,67,54,72,96,71,87,45,75,70,97,78,94,46,98,45,39,88
male,group B,high school,standard,none,70,65,60,97,99,42,62,77,99,87,52,38,36,68,77,79,44,45,74,59,87
female,group B,bachelor's degree,standard,completed,65,81,81,80,81,88,81,36,72,56,93,38,71,36,92,47,100,100,83,93,85
female,group D,associate's degree,standard,none,59,70,65,95,61,97,74,70,73,74,47,92,93,88,97,41,59,59,64,95,78
female,group E,high school,free/reduced,none,64,62,68,99,54,78,57,87,81,63,37,48,99,83,48,70,37,47,41,42,80
female,group B,high school,standard,none,50,53,55,85,47,86,69,46,37,35,99,87,54,45,60,56,97,35,61,65,70
female,group D,some college,standard,completed,69,79,81,75,59,52,89,86,74,89,39,90,89,64,74,45,35,49,58,93,49
male,group C,some high school,free/reduced,completed,51,56,53,50,85,89,90,48,93,83,53,45,45,60,92,62,44,88,77,44,71
female,group A,high school,standard,completed,68,80,76,79,37,94,77,46,39,56,50,56,79,43,60,58,51,39,95,77,45
female,group D,some college,standard,completed,85,86,98,80,39,68,35,42,63,60,55,77,88,36,65,99,48,49,71,93,50
female,group A,associate's degree,standard,completed,65,70,74,93,45,37,53,75,88,90,49,75,65,97,75,75,92,73,80,48,88
female,group B,some high school,standard,none,73,79,79,57,86,96,57,44,40,78,59,94,54,95,72,65,80,35,52,53,56
female,group B,some college,standard,none,62,67,67,68,51,63,75,88,74,67,48,68,64,94,52,76,82,82,63,57,59
male,group C,associate's degree,free/reduced,none,77,67,64,68,84,92,71,76,87,51,97,93,49,44,98,79,83,96,52,68,66
male,group D,some high school,standard,none,69,66,61,91,59,40,60,78,55,44,98,82,51,49,80,62,75,92,49,75,41
female,group D,associate's degree,free/reduced,none,43,60,58,88,67,97,72,100,64,78,98,49,79,64,84,54,66,73,92,60,78
male,group D,associate's degree,standard,none,90,87,85,48,66,70,81,90,60,72,87,87,52,45,63,99,68,95,65,52,41
male,group C,some college,free/reduced,none,74,77,73,67,81,37,55,45,38,77,75,35,99,51,46,56,95,80,68,61,79
male,group C,some high school,standard,none,73,66,63,56,85,53,47,68,36,68,80,90,64,41,96,77,37,65,79,75,73
female,group D,some college,free/reduced,none,55,71,69,100,97,95,53,62,42,53,57,45,61,83,80,86,95,49,41,81,100
female,group C,high school,standard,none,65,69,67,86,88,35,38,77,89,69,49,78,37,45,41,65,74,89,47,60,79
male,group D,associate's degree,standard,none,80,63,63,77,47,49,61,90,92,38,62,58,63,61,98,72,80,43,87,78,82
female,group C,some high school,free/reduced,completed,50,60,60,75,99,89,40,36,64,99,95,71,44,94,48,36,50,58,54,100,93
female,group C,some college,free/reduced,completed,63,73,71,76,98,86,94,76,46,88,79,74,44,79,72,70,94,98,51,93,49
female,group B,bachelor's degree,free/reduced,none,77,85,87,41,38,89,70,47,42,62,39,50,56,98,48,57,60,98,93,93,42
male,group C,some college,standard,none,73,74,61,50,78,99,69,64,87,82,78,57,82,77,81,85,39,65,52,71,64
male,group D,associate's degree,standard,completed,81,72,77,76,89,70,95,61,90,56,64,72,66,76,54,36,92,81,69,94,50
female,group C,high school,free/reduced,none,66,76,68,95,40,69,52,36,65,39,47,100,88,88,50,87,98,37,73,87,68
male,group D,associate's degree,free/reduced,none,52,57,50,99,39,69,85,69,90,37,66,65,59,52,71,100,78,57,53,64,53
female,group C,some college,standard,none,69,78,76,89,48,57,75,39,80,39,71,96,58,79,68,69,37,71,84,98,79
female,group C,associate's degree,standard,completed,65,84,84,89,79,96,86,61,86,38,89,62,82,55,56,51,63,63,59,66,59
female,group D,high school,standard,completed,69,77,78,46,70,89,98,63,43,51,77,85,54,60,69,83,57,58,57,47,48
female,group B,some college,standard,completed,50,64,66,64,46,66,44,74,77,71,45,74,93,63,96,42,50,46,69,95,64
female,group E,some college,standard,completed,73,78,76,56,73,76,51,53,99,41,64,44,85,97,50,99,58,61,84,94,85
female,group C,some high school,standard,completed,70,82,76,38,61,47,44,100,91,40,67,54,52,91,50,56,67,100,76,81,63
male,group D,associate's degree,free/reduced,none,81,75,78,90,52,70,98,74,40,61,96,41,73,48,48,66,54,61,60,38,83
male,group D,some college,free/reduced,none,63,61,60,84,83,49,94,75,44,64,94,55,80,49,92,77,94,89,80,40,95
female,group D,high school,standard,none,67,72,74,79,52,79,73,75,63,55,63,60,94,78,63,68,72,60,45,67,96
male,group B,high school,standard,none,60,68,60,71,78,58,99,89,66,61,95,49,42,35,49,35,95,66,95,61,71
male,group B,high school,standard,none,62,55,54,84,48,38,64,47,84,87,96,51,72,44,78,90,56,39,68,42,95
female,group C,some high school,free/reduced,completed,29,40,44,41,48,45,95,69,71,73,78,50,37,48,67,74,56,97,99,70,69
male,group B,some college,standard,completed,62,66,68,65,81,67,60,71,66,89,54,46,39,65,50,79,47,72,64,36,61
female,group E,master's degree,standard,completed,94,99,100,90,58,70,42,51,74,97,72,77,78,54,80,70,78,82,48,48,35
male,group E,some college,standard,completed,85,75,68,82,71,93,78,57,86,67,74,93,70,98,70,68,55,93,42,42,98
male,group D,associate's degree,free/reduced,none,77,78,73,53,52,92,72,67,94,40,73,91,50,72,71,65,84,82,72,83,42
male,group A,high school,free/reduced,none,53,58,44,58,75,81,35,51,73,83,61,61,59,43,96,83,95,87,66,66,72
male,group E,some college,free/reduced,none,93,90,83,47,82,84,88,85,97,40,52,59,68,42,98,54,54,91,42,38,57
female,group C,associate's degree,standard,none,49,53,53,93,72,78,69,52,73,69,89,97,55,46,35,48,64,70,97,95,62
female,group E,associate's degree,free/reduced,none,73,76,78,84,96,65,88,65,69,53,60,92,90,88,74,82,96,86,56,83,55
female,group C,bachelor's degree,free/reduced,completed,66,74,81,45,43,61,48,86,85,75,91,53,53,45,83,89,62,74,52,98,70
female,group D,associate's degree,standard,none,77,77,73,79,43,87,61,45,59,67,71,52,90,55,80,55,78,86,54,76,87
female,group C,some high school,standard,none,49,63,56,54,35,62,54,88,96,76,97,95,54,74,72,100,90,78,79,46,62
female,group D,some college,free/reduced,none,79,89,86,75,81,77,64,98,61,98,95,67,79,76,97,39,78,62,98,56,56
female,group C,associate's degree,standard,completed,75,82,90,40,99,38,87,81,72,38,98,71,75,57,85,82,97,100,59,35,80
female,group A,bachelor's degree,standard,none,59,72,70,59,95,55,70,83,86,75,99,44,71,95,41,56,48,48,84,79,82
female,group D,associate's degree,standard,completed,57,78,79,95,85,37,50,92,100,80,81,87,38,48,57,100,98,49,85,54,57
male,group C,high school,free/reduced,none,66,66,59,84,35,84,46,92,66,88,100,68,57,93,89,99,73,87,68,64,54
female,group E,bachelor's degree,standard,completed,79,81,82,54,45,86,46,46,40,58,36,79,73,68,75,80,79,78,67,52,51
female,group B,some high school,standard,none,57,67,72,98,70,90,51,56,64,73,70,89,100,90,35,48,86,65,80,38,48
male,group A,bachelor's degree,standard,completed,87,84,87,86,78,40,64,96,61,91,95,91,35,56,60,88,46,48,35,54,71
female,group D,some college,standard,none,63,64,67,100,86,86,97,98,97,70,79,88,35,80,93,91,61,72,89,43,88
female,group B,some high school,free/reduced,completed,59,63,64,36,80,40,84,83,78,37,84,35,85,50,78,44,98,49,93,75,93
male,group A,bachelor's degree,free/reduced,none,62,72,65,87,89,72,35,37,47,73,66,54,57,85,75,43,48,46,66,42,84
male,group D,high school,standard,none,46,34,36,40,92,59,35,48,64,58,58,47,74,43,60,80,62,51,60,45,87
male,group C,some college,standard,none,66,59,52,38,87,35,75,46,58,50,78,84,71,76,99,35,65,100,38,56,59
male,group D,high school,standard,none,89,87,79,72,57,82,90,86,63,66,41,46,60,44,52,80,67,70,52,49,99
female,group D,associate's degree,free/reduced,completed,42,61,58,59,63,47,53,97,94,90,62,61,85,72,59,82,82,51,73,87,92
male,group C,some college,standard,completed,93,84,90,68,60,39,61,46,57,70,74,69,93,56,93,48,54,56,60,44,75
female,group E,some high school,standard,completed,80,85,85,72,93,95,96,100,81,35,67,86,72,35,94,98,68,56,79,67,89
female,group D,some college,standard,none,98,100,99,49,78,71,90,49,100,39,37,61,99,91,61,38,42,45,62,55,97
