gender,race/ethnicity,parental level of education,lunch,test preparation course,,m1 score,physics score,m2 score,m3 score,DS score,CO score,LD score,SOM score,ED score,OS-1 score,OS-2 score,MICRO-1score,MICRO-2 score,Chemistry score,EC score,Electrical SCi score,C++ score,Java score,OR Score,IM score,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,SUB13,SUB14,SUB15,SUB16,SUB17,SUB18,SUB19,SUB20,SUB21,SUB22,SUB23,SUB24,SUB25,SUB26,SUB27,SUB28,SUB29,SUB30,SUB31,Result2,Result
male,group A,associate's degree,free/reduced,completed,79,82,82,38,83,90,41,61,36,82,84,94,69,35,70,75,82,93,50,93,66,93,49,82,76,80,56,92,69,70,40,65,88,41,81,47,62,35,100,73,59,93,83,48,46,95,46,38,36,53,81,65,6,9
female,group A,associate's degree,free/reduced,none,65,85,76,96,92,85,70,98,38,100,87,54,95,38,71,76,66,54,53,67,47,59,64,62,82,91,98,42,98,88,100,40,46,61,36,38,91,56,68,59,72,36,39,44,68,76,43,54,82,62,91,91,6,0
female,group C,associate's degree,standard,none,64,64,70,96,78,78,99,47,87,96,86,37,59,64,78,53,45,97,68,41,66,85,76,53,73,68,71,87,82,70,87,81,92,80,76,84,52,87,42,58,88,83,67,89,54,91,50,48,93,64,80,51,7,1
female,group C,some college,standard,none,83,83,90,68,74,48,97,41,38,89,36,94,83,38,80,40,93,36,80,38,56,42,40,90,69,91,54,53,93,65,73,52,89,77,39,95,38,96,35,57,87,99,78,95,97,75,89,55,81,46,44,51,6,2
female,group C,bachelor's degree,standard,none,81,88,90,37,96,87,100,50,74,56,37,93,92,93,85,39,95,46,51,94,73,95,50,57,81,99,36,37,87,38,57,86,96,83,64,92,76,88,52,74,63,50,69,75,51,79,57,35,82,64,100,76,7,3
female,group B,high school,standard,none,54,64,68,40,72,66,96,37,43,71,52,45,92,36,70,42,72,52,70,43,100,90,73,86,88,57,88,63,45,100,71,100,57,51,89,54,64,94,77,46,43,85,79,53,52,43,100,77,48,83,97,36,6,4
male,group D,high school,standard,completed,68,64,66,95,36,73,36,84,51,48,77,35,89,38,86,96,38,75,43,59,85,71,68,88,87,93,93,41,41,64,40,50,48,71,37,43,44,69,66,36,88,80,37,46,44,53,35,98,82,69,94,68,6,5
female,group C,some college,standard,none,54,48,52,63,58,51,79,43,79,41,66,45,93,45,81,40,45,51,72,84,92,56,79,59,91,61,51,52,83,94,87,51,52,94,50,48,93,46,55,70,67,67,66,44,99,93,73,36,42,94,96,36,6,6
female,group D,some college,free/reduced,completed,59,78,76,95,64,51,77,51,58,40,61,96,38,76,98,47,55,79,98,64,84,73,65,74,89,72,56,43,61,56,75,57,91,95,56,68,42,35,72,40,67,81,66,83,71,67,81,60,54,87,92,80,6,7
female,group B,some high school,standard,none,66,69,68,50,64,84,84,44,62,44,57,64,91,77,41,65,68,41,36,53,76,51,60,59,55,71,45,95,91,72,92,37,35,36,58,83,39,37,98,87,60,100,58,69,53,78,51,91,68,67,77,68,6,8
male,group E,some college,standard,none,76,71,72,98,93,81,60,40,42,90,46,87,64,56,77,39,70,94,37,85,88,80,94,88,75,36,58,57,58,44,87,52,62,63,92,76,86,94,79,60,91,73,87,50,51,60,93,100,56,35,49,99,7,9
female,group D,master's degree,standard,none,74,79,82,62,37,81,86,100,97,77,51,46,98,86,100,96,98,42,74,80,35,68,99,59,92,100,44,79,59,41,35,52,90,99,44,69,45,74,55,40,54,97,82,61,84,58,93,46,42,64,78,35,6,0
female,group B,associate's degree,standard,completed,94,87,92,48,55,49,73,51,43,91,77,93,65,41,51,57,96,88,68,68,73,50,95,64,99,78,89,42,100,49,58,41,85,100,60,62,67,96,67,77,88,77,83,48,95,96,90,66,94,45,84,79,7,1
male,group C,some college,free/reduced,none,63,61,54,36,79,45,74,61,97,54,59,84,35,81,37,64,87,99,46,73,77,74,94,78,54,91,58,93,39,64,78,64,51,44,73,85,60,36,77,92,81,84,94,64,64,77,70,45,59,62,43,69,6,2
female,group E,associate's degree,standard,completed,95,89,92,44,75,89,75,84,97,46,57,65,97,89,81,95,75,42,83,94,97,42,71,98,45,86,61,92,100,50,81,48,92,81,97,95,45,37,39,72,77,39,74,53,47,45,99,42,82,69,48,48,7,3
female,group D,master's degree,free/reduced,none,40,59,54,95,84,63,78,42,78,58,40,50,94,70,100,73,79,49,96,62,69,35,59,51,92,86,96,35,92,77,97,70,61,46,87,43,72,75,45,94,38,64,86,58,84,94,38,49,80,69,86,94,6,4
female,group B,some high school,standard,none,82,82,80,52,41,89,92,70,56,48,49,72,58,53,80,40,100,62,59,42,91,55,64,73,41,100,57,97,35,93,97,64,92,51,49,43,48,97,70,63,38,69,45,62,84,43,91,58,81,51,93,45,6,5
male,group A,high school,standard,none,68,70,66,58,57,99,44,99,87,52,45,92,54,44,75,39,100,77,88,57,78,76,72,79,42,57,75,40,56,62,100,79,76,40,77,84,50,70,47,50,59,37,61,54,36,96,82,80,51,74,60,67,6,6
male,group B,bachelor's degree,free/reduced,none,55,59,54,52,65,82,45,53,71,48,63,55,42,59,93,55,69,39,43,91,68,40,62,94,64,36,93,73,78,94,76,83,46,85,39,79,85,53,98,67,67,98,92,91,58,60,36,39,87,81,63,67,6,7
male,group C,master's degree,standard,none,79,78,77,38,50,84,94,71,49,72,83,67,82,85,96,38,44,87,52,46,51,87,83,99,98,50,98,91,45,95,76,61,92,99,65,85,55,69,77,83,54,86,99,58,49,47,96,63,35,66,45,98,7,8
female,group C,bachelor's degree,standard,none,86,92,87,54,99,86,46,93,74,37,40,61,48,87,47,91,40,66,65,49,56,46,37,69,78,37,38,75,75,38,64,49,88,58,48,48,71,43,49,60,80,71,75,79,58,94,80,71,38,73,60,90,6,9
male,group D,some college,standard,none,76,71,73,88,43,68,40,91,52,70,93,45,91,42,91,78,38,77,69,35,64,39,36,87,75,99,81,41,55,95,59,96,42,48,54,56,56,66,88,64,64,74,74,52,57,40,43,67,81,57,38,55,6,0
male,group A,some high school,standard,none,64,50,43,46,94,91,55,70,42,91,60,98,54,55,73,95,66,95,100,91,80,96,45,79,67,60,93,70,60,40,88,80,70,93,73,82,40,42,89,55,91,83,51,52,82,50,48,48,91,65,47,69,6,1
male,group D,some high school,free/reduced,none,62,49,52,52,39,71,56,77,49,76,84,42,79,88,71,96,66,55,54,36,77,88,46,69,74,89,64,56,88,61,48,41,93,55,75,79,64,68,67,90,54,40,61,72,97,77,99,91,57,65,49,46,6,2
female,group B,some high school,standard,completed,54,61,62,62,94,67,47,36,52,56,56,36,93,56,65,49,69,66,79,93,52,39,42,60,80,86,69,91,37,75,87,78,76,95,36,72,79,76,70,41,47,73,84,42,88,98,47,89,92,86,96,59,6,3
female,group B,master's degree,free/reduced,completed,77,97,94,72,74,43,37,39,63,76,64,39,86,45,81,56,48,51,97,48,96,58,48,42,88,37,43,67,95,38,90,88,77,55,74,91,71,73,55,68,82,82,53,70,73,81,100,37,97,98,91,49,6,4
female,group C,some high school,standard,completed,76,87,85,85,48,90,95,76,53,46,75,37,69,89,51,48,50,71,72,91,100,87,77,95,98,92,69,69,93,46,58,74,98,38,40,46,76,52,39,88,88,68,35,83,95,55,63,72,92,45,94,61,7,5
female,group D,some college,standard,none,74,89,84,83,37,69,67,90,100,68,92,49,93,36,77,60,38,37,43,98,56,53,56,40,35,81,41,62,72,81,61,90,50,58,71,53,39,49,39,79,61,96,100,85,93,87,87,51,74,96,41,66,6,6
female,group E,some college,standard,completed,66,74,73,38,66,96,96,88,88,66,54,43,95,67,62,94,90,45,87,90,91,74,58,75,93,68,95,99,49,59,85,69,54,37,73,96,49,39,99,37,60,50,66,72,90,83,65,69,50,38,98,68,7,7
female,group D,some high school,standard,completed,66,78,78,65,100,69,78,47,41,94,39,48,95,59,87,93,78,57,76,56,69,100,99,74,47,67,99,61,89,66,64,40,75,45,67,72,70,92,38,96,47,41,95,60,69,57,54,63,91,84,97,38,6,8
female,group B,high school,free/reduced,completed,67,78,79,85,45,91,81,90,87,73,100,93,90,93,54,72,38,100,51,61,80,52,80,44,54,53,47,78,99,78,67,39,55,57,49,84,38,89,69,97,58,65,64,40,45,90,50,58,67,69,74,54,6,9
male,group D,some college,standard,none,71,49,52,54,35,36,94,80,74,78,85,76,92,43,81,71,73,75,83,62,35,45,80,40,66,56,81,74,52,42,86,80,58,84,56,42,86,72,78,68,45,87,75,89,91,89,87,80,67,41,71,57,6,0
female,group C,associate's degree,standard,none,91,86,84,96,51,71,80,84,73,75,42,47,59,75,57,62,48,40,91,66,70,75,41,81,47,56,80,40,65,73,89,57,93,61,87,98,79,82,98,48,35,59,80,62,68,87,77,47,74,45,73,40,6,1
male,group D,bachelor's degree,standard,none,69,58,57,44,43,49,100,92,81,73,40,77,40,79,43,68,88,68,86,44,83,62,67,55,74,90,46,35,75,59,47,63,45,35,96,53,67,45,87,37,60,62,99,45,48,78,63,45,73,53,58,91,6,2
male,group C,master's degree,free/reduced,none,54,59,50,35,65,54,96,95,90,46,94,100,45,71,73,65,67,81,88,37,57,97,77,58,37,72,63,94,80,60,43,87,81,89,38,44,95,39,36,68,49,53,69,82,73,56,85,87,78,44,86,97,6,3
male,group C,high school,standard,completed,53,52,49,45,92,88,78,51,89,42,69,79,75,69,72,94,82,35,74,60,90,69,57,55,84,40,52,63,93,40,95,68,87,53,53,82,94,92,77,75,86,49,41,43,85,75,71,80,86,70,97,76,6,4
male,group E,some college,standard,none,68,60,59,42,50,37,78,48,75,77,83,90,36,52,100,54,76,49,65,54,96,76,36,51,78,81,79,47,64,49,91,49,38,100,61,84,61,50,37,90,44,92,53,71,50,39,79,98,38,47,92,74,6,5
male,group C,some high school,free/reduced,completed,56,61,60,66,71,75,49,39,85,61,48,40,62,79,84,59,94,90,61,42,88,97,56,92,44,67,92,90,44,52,80,86,69,90,78,61,79,66,98,55,67,95,56,47,46,37,85,75,44,80,90,84,6,6
female,group C,high school,free/reduced,none,36,53,43,69,55,79,70,90,38,72,90,41,81,82,82,83,68,40,69,43,59,81,84,98,69,93,85,43,82,100,95,66,48,59,76,68,35,52,97,74,53,52,51,72,72,64,37,54,68,43,72,82,6,7
female,group D,bachelor's degree,free/reduced,none,29,41,47,48,85,94,81,99,85,55,84,70,99,95,92,45,71,80,69,54,59,92,94,57,56,67,98,90,50,70,84,50,78,77,38,68,37,81,49,49,59,84,97,95,84,63,65,58,88,52,68,61,7,8
female,group C,associate's degree,standard,none,62,74,70,100,52,72,76,68,97,41,93,39,86,99,44,100,97,92,82,47,88,79,62,82,92,77,86,93,72,40,84,98,77,45,41,59,54,61,62,98,71,50,51,98,81,76,41,76,43,82,42,35,7,9
female,group C,associate's degree,standard,completed,68,67,73,60,44,86,96,100,84,36,79,58,35,95,50,69,53,63,73,39,38,74,37,86,70,36,80,78,49,58,87,94,79,90,83,51,95,60,96,83,68,53,37,73,60,54,98,96,51,53,56,93,6,0
female,group C,some high school,standard,none,47,54,53,85,92,81,63,86,96,88,35,48,100,60,42,48,66,56,100,92,100,80,60,89,79,36,65,62,91,54,49,56,46,47,35,79,46,50,99,66,71,92,84,43,35,47,86,42,94,84,80,82,6,1
male,group E,associate's degree,standard,completed,62,61,58,96,41,39,61,40,53,60,62,38,94,56,80,71,95,91,43,49,68,86,77,69,71,43,95,40,46,99,73,63,100,96,76,95,87,37,46,87,82,58,90,64,82,58,63,55,70,71,84,73,6,2
female,group E,associate's degree,standard,completed,79,88,94,63,40,98,38,36,41,100,86,52,76,38,67,96,37,49,73,97,72,90,47,49,54,85,95,68,83,35,96,36,73,85,65,98,48,42,82,62,55,91,81,50,54,70,72,83,46,35,50,57,6,3
male,group B,high school,standard,completed,73,69,68,36,86,95,82,95,75,74,35,60,38,49,74,58,72,64,85,81,40,50,56,63,72,84,89,93,98,93,47,80,84,49,42,88,79,82,95,66,53,83,38,42,59,35,36,100,64,51,41,90,6,4
female,group C,bachelor's degree,free/reduced,completed,66,83,83,86,44,80,48,95,49,56,76,85,91,41,57,61,46,60,93,93,51,75,40,41,39,48,41,94,50,95,56,56,60,97,73,56,68,63,39,99,41,51,66,68,84,39,92,67,73,84,67,47,6,5
male,group C,associate's degree,standard,completed,51,60,58,51,93,97,89,38,65,88,93,77,62,46,76,77,66,100,51,38,35,61,53,37,57,92,46,89,82,46,85,100,65,83,54,43,57,52,81,63,66,83,40,53,43,72,51,49,67,97,99,56,6,6
female,group D,high school,standard,none,51,66,62,37,65,90,70,84,67,49,41,46,69,71,81,65,83,62,93,35,80,85,97,77,40,96,44,82,94,35,63,97,71,91,90,85,53,57,38,72,81,74,77,55,64,90,45,40,67,85,48,96,6,7
male,group E,bachelor's degree,standard,completed,85,66,71,95,82,52,94,80,55,43,61,57,42,73,42,71,77,48,59,35,95,45,59,84,72,89,86,55,81,77,96,83,97,58,63,91,84,59,91,78,88,44,54,36,98,81,54,80,46,52,50,99,6,8
male,group A,associate's degree,standard,completed,97,92,86,48,36,97,68,64,54,90,49,37,93,59,61,95,100,98,79,70,93,95,87,66,71,71,84,83,76,70,35,89,95,90,63,100,85,100,74,87,84,84,37,85,65,73,68,69,95,52,41,50,7,9
male,group C,high school,standard,completed,75,69,68,67,61,74,42,59,78,73,57,99,67,50,66,100,95,42,75,92,79,51,97,96,63,84,86,42,57,44,72,69,70,50,72,58,67,65,61,43,53,47,85,79,56,54,44,70,43,89,51,36,6,0
male,group D,associate's degree,free/reduced,completed,79,82,80,70,96,71,75,95,98,44,97,97,97,36,51,70,69,47,67,57,65,95,64,95,80,43,64,82,62,91,90,63,50,49,73,40,66,43,62,85,78,49,60,89,77,71,81,79,94,99,65,49,7,1
female,group C,associate's degree,standard,none,81,77,79,59,100,89,55,44,36,42,96,90,43,91,89,73,37,82,45,53,94,90,54,88,56,68,93,98,98,95,66,36,76,55,98,96,45,45,78,91,98,90,92,59,47,51,58,78,62,43,64,100,7,2
female,group D,associate's degree,standard,none,82,95,89,54,79,87,41,73,78,39,84,49,60,89,93,84,77,70,96,42,42,56,99,86,40,45,49,97,45,81,94,89,87,100,89,42,81,79,56,89,55,46,93,54,66,47,45,71,56,93,39,69,7,3
female,group D,master's degree,standard,none,64,63,66,91,59,41,80,40,92,67,45,80,57,69,89,67,81,60,55,65,47,83,72,83,99,75,74,52,81,94,99,42,47,71,59,45,76,39,54,63,42,66,76,44,58,63,65,66,80,69,71,62,6,4
male,group E,some high school,free/reduced,completed,78,83,80,76,73,91,45,88,74,75,76,37,49,53,49,68,86,42,37,100,39,63,97,87,64,93,78,63,79,94,71,70,80,37,61,52,93,90,82,98,71,86,78,55,91,63,43,77,81,59,94,73,7,5
female,group A,some high school,standard,completed,92,100,97,65,79,37,88,41,38,35,35,56,63,99,35,76,43,88,42,87,87,55,48,49,48,96,70,73,82,83,41,46,64,44,53,74,62,37,42,46,96,93,91,67,60,38,74,87,76,35,89,62,6,6
male,group C,high school,standard,completed,72,67,64,54,82,55,98,89,56,49,81,91,86,74,92,88,69,89,47,47,88,84,82,100,57,83,71,51,91,89,60,85,64,99,47,90,88,67,80,54,81,61,55,75,95,35,55,93,63,69,64,52,7,7
female,group C,high school,free/reduced,none,62,67,64,70,90,69,53,73,69,99,67,90,74,61,66,38,56,51,36,88,99,78,72,98,100,74,80,99,86,93,96,90,37,55,59,35,89,64,64,74,68,36,72,67,99,35,69,87,62,41,54,97,7,8
male,group C,master's degree,standard,none,79,72,69,94,45,50,94,81,83,60,61,76,74,69,39,42,50,56,62,73,60,62,56,85,87,84,76,98,49,94,46,64,53,49,80,48,77,91,80,83,99,65,63,52,59,59,52,35,88,35,75,80,6,9
male,group C,some high school,free/reduced,none,79,76,65,45,46,70,87,63,55,54,95,99,85,85,88,41,69,55,80,37,72,48,56,44,53,70,52,77,64,44,91,50,94,100,42,65,44,63,95,74,64,60,80,75,46,94,49,72,83,90,76,74,6,0
male,group B,bachelor's degree,free/reduced,completed,87,90,88,53,63,91,53,77,55,84,58,77,87,62,76,39,100,67,36,40,68,81,85,93,64,51,80,67,97,46,53,52,88,38,69,69,50,54,42,60,45,51,76,53,49,38,81,69,94,53,90,98,6,1
female,group B,associate's degree,standard,none,40,48,50,78,85,42,36,76,37,84,44,62,66,73,71,86,88,93,37,98,37,84,84,73,58,53,53,74,63,81,62,93,78,92,47,100,57,82,83,79,59,68,40,92,72,100,50,59,86,37,49,61,6,2
male,group D,some college,free/reduced,none,77,62,64,74,70,62,98,78,76,77,83,73,86,60,61,92,36,36,38,89,64,41,69,50,50,60,87,97,72,93,73,89,79,99,62,52,55,37,68,57,96,39,68,81,82,83,54,53,88,39,42,90,6,3
male,group E,associate's degree,standard,none,53,45,40,81,68,65,84,74,44,57,56,98,49,60,75,79,40,55,92,39,67,62,66,74,41,87,82,84,77,82,59,48,77,64,50,89,61,64,67,83,43,40,67,51,88,96,37,49,87,38,71,36,6,4
female,group C,some college,free/reduced,none,32,39,33,80,57,51,98,46,88,42,72,77,49,93,98,58,83,78,35,47,46,63,46,100,94,97,97,47,35,65,77,54,42,92,97,51,50,90,96,97,84,95,37,46,71,79,62,64,84,63,45,90,6,5
female,group C,associate's degree,standard,completed,55,72,79,83,94,37,96,79,60,42,88,80,99,72,74,44,50,89,54,82,59,77,69,71,96,47,50,82,99,77,48,57,68,41,82,36,75,60,96,72,96,97,58,43,61,89,70,98,85,83,95,58,7,6
male,group C,master's degree,free/reduced,none,61,67,66,48,39,80,57,73,53,52,62,74,66,36,91,57,52,45,50,36,58,87,78,53,38,59,67,74,44,60,70,43,36,61,99,44,41,50,97,77,94,82,86,81,95,69,45,73,41,40,46,53,6,7
female,group B,associate's degree,free/reduced,none,53,70,70,100,74,94,94,59,93,49,100,64,65,91,48,81,92,73,54,62,99,80,42,97,42,41,54,74,71,58,46,86,79,35,97,96,48,46,86,80,64,55,43,48,93,95,38,91,45,41,96,70,6,8
male,group D,some high school,standard,none,73,66,62,67,90,97,40,80,82,42,62,78,86,64,88,86,76,78,88,61,97,87,81,48,87,63,50,61,38,88,56,63,55,88,70,54,90,38,42,52,71,74,79,77,93,45,95,53,58,55,66,62,6,9
female,group D,some college,standard,completed,74,75,79,35,62,69,87,97,97,75,92,58,70,39,39,83,47,51,55,88,47,60,81,68,47,48,84,73,58,60,38,71,94,93,58,65,38,35,100,96,98,87,45,99,90,73,96,94,45,66,60,60,6,0
female,group C,some college,standard,none,63,74,74,63,75,86,74,85,56,98,35,73,35,37,92,78,57,51,69,85,35,56,60,52,59,41,98,54,53,99,79,55,58,67,83,77,87,92,59,59,89,64,64,51,38,87,69,65,83,61,52,51,6,1
male,group C,bachelor's degree,standard,completed,96,90,92,83,87,78,52,92,49,38,45,47,72,70,68,65,85,37,53,77,95,92,40,88,88,43,57,70,90,66,80,59,70,37,39,90,46,100,51,51,97,82,69,61,77,44,99,66,72,54,45,65,6,2
female,group D,some college,free/reduced,completed,63,80,80,91,71,62,73,44,59,51,100,97,71,88,88,40,93,51,63,42,89,87,41,38,45,59,56,92,83,56,38,90,41,90,62,57,56,50,57,72,49,48,48,91,66,45,73,50,77,74,50,42,6,3
male,group B,bachelor's degree,free/reduced,none,48,51,46,48,54,62,40,90,43,83,68,99,92,43,97,59,70,85,74,86,71,59,57,47,96,49,59,87,50,36,89,99,71,100,98,84,71,94,70,59,37,65,82,39,80,50,45,53,55,52,43,61,6,4
male,group B,associate's degree,standard,none,48,43,45,86,39,77,64,88,39,63,38,74,52,87,92,89,35,45,85,79,96,59,94,64,78,53,56,66,86,62,35,81,49,92,86,64,63,73,60,91,68,90,46,51,77,82,47,35,55,66,38,38,6,5
female,group E,bachelor's degree,free/reduced,completed,92,100,100,85,46,45,86,39,60,94,59,56,82,50,79,66,66,74,82,66,74,71,39,39,59,91,35,45,65,82,62,42,60,41,72,37,100,40,61,47,38,46,35,88,95,74,43,52,40,95,87,59,6,6
female,group D,master's degree,free/reduced,completed,61,71,78,63,77,43,91,85,100,56,54,86,38,73,71,63,63,92,61,65,67,39,73,97,80,37,89,52,79,39,40,84,81,100,91,42,71,63,91,64,64,85,84,86,56,99,46,84,36,51,67,92,6,7
male,group B,high school,free/reduced,none,63,48,47,60,82,80,66,67,68,58,38,82,89,42,70,89,37,44,86,75,86,35,56,77,70,54,40,81,97,37,90,57,60,36,66,95,90,41,93,90,92,77,83,58,86,53,39,64,41,58,54,67,6,8
male,group D,bachelor's degree,free/reduced,none,68,68,67,97,83,55,87,79,39,100,41,39,58,96,47,60,46,44,40,76,47,57,72,93,78,62,55,81,94,84,53,70,64,78,39,45,71,77,40,40,61,85,57,98,78,66,100,39,47,81,40,66,6,9
male,group B,some college,standard,completed,71,75,70,67,72,60,51,48,79,35,79,84,43,56,68,35,67,54,37,44,64,93,100,50,66,85,98,38,63,67,45,96,61,96,46,59,95,76,60,92,47,39,44,58,68,55,86,96,58,49,71,88,6,0
male,group A,bachelor's degree,standard,none,91,96,92,88,55,52,43,71,99,95,54,78,72,93,85,78,79,36,61,85,63,69,96,92,95,74,79,37,88,77,54,41,54,43,86,46,52,97,51,92,82,63,50,83,90,52,57,48,88,70,43,39,7,1
female,group C,some college,standard,none,53,62,56,35,80,44,36,85,80,58,54,89,57,90,68,66,71,53,84,79,85,69,66,37,100,46,58,89,49,58,79,78,61,48,69,100,75,87,51,57,85,68,98,88,71,89,38,81,62,69,90,98,6,2
female,group C,high school,free/reduced,completed,50,66,64,84,36,73,73,50,82,78,87,83,78,64,85,55,38,81,51,96,43,98,49,66,74,54,61,67,58,57,54,49,50,37,63,48,74,47,49,84,90,47,60,92,53,40,60,39,89,80,69,76,6,3
female,group E,high school,standard,none,74,81,71,68,96,41,58,47,36,90,59,42,46,54,91,49,88,81,77,45,48,95,80,45,37,91,44,38,80,85,82,88,99,90,46,100,95,78,59,64,85,87,72,99,66,75,97,75,74,65,41,51,6,4
male,group A,associate's degree,free/reduced,completed,40,55,53,81,58,51,91,56,40,80,51,86,88,88,98,84,60,78,86,55,39,58,82,41,99,53,82,95,36,52,66,89,51,74,74,60,65,82,43,87,36,37,91,47,53,96,96,49,65,62,55,69,6,5
male,group A,some college,standard,completed,61,51,52,52,78,62,52,92,96,91,74,39,54,60,90,72,94,35,65,92,55,64,50,56,77,72,92,66,69,80,46,80,78,93,49,85,81,61,40,56,53,78,94,54,49,54,98,52,70,91,86,57,6,6
female,group B,high school,standard,none,81,91,89,43,35,56,53,76,91,60,53,92,68,44,49,73,87,100,37,57,49,40,55,53,86,38,38,95,100,85,93,65,88,88,91,40,56,71,94,58,63,88,97,100,83,71,84,45,57,74,86,40,6,7
female,group B,some college,free/reduced,completed,48,56,58,94,40,74,91,62,56,73,98,73,77,58,49,97,81,39,83,96,47,39,64,71,62,61,35,40,65,76,99,75,44,64,40,35,47,49,58,79,99,94,66,81,91,82,69,96,48,78,79,42,6,8
female,group D,master's degree,standard,none,53,61,68,99,44,99,65,61,48,68,40,57,85,37,38,49,96,45,79,98,92,85,87,96,52,96,38,63,97,58,40,79,94,67,60,86,69,59,44,53,35,86,87,51,70,49,60,48,44,77,58,48,6,9
female,group D,some high school,standard,none,81,97,96,65,44,38,74,66,61,66,36,47,52,66,51,86,80,96,44,83,86,43,55,60,90,81,92,38,98,53,81,96,64,80,98,54,96,81,41,82,47,43,41,66,44,88,80,45,94,64,81,73,6,0
female,group E,some high school,standard,none,77,79,80,75,47,80,39,48,59,36,70,85,53,45,49,72,38,78,62,98,75,96,100,39,42,83,80,76,58,82,48,97,65,62,85,62,59,54,53,76,78,87,61,49,38,74,46,35,75,44,71,80,6,1
female,group D,bachelor's degree,free/reduced,none,63,73,78,86,54,37,93,100,94,76,86,76,68,36,84,91,99,66,56,90,88,50,70,36,81,97,89,100,52,54,92,64,49,52,95,100,58,71,97,78,60,92,86,65,76,49,100,90,93,51,72,53,7,2
female,group D,associate's degree,standard,completed,73,75,80,71,80,99,47,64,41,97,61,90,41,55,89,70,67,60,97,55,40,89,58,80,81,41,35,69,96,49,59,63,90,76,50,94,35,92,66,86,71,93,67,44,98,37,80,98,39,49,54,69,6,3
female,group D,some college,standard,none,69,77,77,96,48,63,84,92,53,37,67,45,91,63,42,76,70,54,43,35,94,44,58,71,60,60,49,38,68,88,96,70,62,63,51,83,66,73,78,45,70,85,47,99,58,83,98,51,99,99,76,94,6,4
female,group C,associate's degree,standard,none,65,76,76,58,48,58,40,93,47,52,91,99,95,85,37,45,96,79,97,60,95,47,96,43,57,51,51,41,77,97,88,46,58,83,41,76,68,83,64,67,54,87,91,90,46,89,88,78,85,92,86,72,7,5
female,group A,high school,standard,none,55,73,73,95,82,97,93,37,58,67,61,70,74,37,65,57,47,52,76,69,79,92,52,43,43,80,83,38,41,50,47,83,98,88,100,80,55,61,95,88,59,98,80,70,68,70,88,71,75,75,35,97,6,6
female,group C,bachelor's degree,free/reduced,none,44,63,62,78,77,35,93,75,76,78,46,49,99,37,74,92,84,85,37,52,47,75,87,54,100,65,64,43,45,63,64,72,57,100,64,75,69,100,50,44,41,35,66,51,40,57,75,86,76,68,48,64,6,7
female,group C,some college,standard,none,54,64,65,77,77,63,53,79,75,56,39,67,99,36,46,71,74,55,74,95,66,47,85,83,41,69,90,78,90,53,84,69,85,79,86,44,38,51,55,52,73,68,74,68,75,75,89,67,98,69,61,61,6,8
female,group A,some high school,standard,none,48,66,65,59,62,83,99,58,55,57,52,73,39,96,71,64,51,46,70,63,61,51,77,88,74,46,90,54,48,82,56,92,54,57,65,79,72,81,37,53,74,88,100,40,94,90,49,68,84,41,52,71,6,9
male,group C,some college,free/reduced,none,58,57,54,75,72,50,62,82,74,40,44,75,41,89,46,83,98,57,73,84,62,55,95,78,50,60,97,67,78,65,86,83,85,56,41,53,70,53,59,63,78,64,77,60,68,80,99,66,58,83,80,62,6,0
male,group A,some high school,standard,none,71,62,50,56,46,98,90,53,95,70,79,83,83,78,56,88,54,73,56,50,85,36,59,51,76,35,49,76,87,90,69,38,52,89,79,52,46,38,85,73,48,53,97,35,50,54,46,53,61,96,46,43,6,1
male,group E,bachelor's degree,standard,none,68,68,64,84,38,66,60,43,50,96,81,62,50,87,60,87,63,85,92,49,54,100,44,77,62,43,81,76,85,58,47,90,42,63,80,100,48,79,98,72,37,88,64,92,61,53,81,52,50,79,35,87,6,2
female,group E,high school,standard,none,74,76,73,83,84,79,100,42,70,82,70,37,46,97,58,46,48,82,65,87,71,84,71,39,99,66,38,62,53,48,73,77,73,82,44,59,57,71,77,97,80,90,68,92,42,54,88,48,78,59,35,84,6,3
female,group C,bachelor's degree,standard,completed,92,100,99,52,50,48,52,43,87,54,97,96,86,60,89,60,59,99,87,100,81,83,99,62,64,98,37,94,74,76,60,36,37,65,69,40,66,62,100,57,72,62,63,71,75,55,91,83,71,86,78,96,7,4
female,group C,bachelor's degree,standard,completed,56,79,72,76,62,91,52,41,90,91,80,81,91,62,94,77,74,78,97,67,71,43,88,41,73,82,61,63,44,91,85,59,50,71,51,92,59,90,54,35,76,88,72,85,92,66,47,41,40,57,87,72,6,5
male,group B,high school,free/reduced,none,30,24,15,67,45,43,56,91,38,60,99,43,64,86,82,78,54,88,98,84,69,84,79,74,81,41,46,52,46,85,46,96,65,74,48,67,42,58,45,66,46,74,91,41,97,62,63,84,43,47,69,82,6,6
male,group A,some high school,standard,none,53,54,48,35,97,45,44,84,57,84,57,43,75,66,82,67,91,45,53,96,89,82,41,37,55,95,69,58,96,82,49,54,82,59,98,91,60,72,82,79,41,84,64,44,80,48,99,36,41,71,67,86,6,7
female,group D,high school,standard,none,69,77,73,42,45,44,56,35,76,58,65,59,62,68,84,96,97,70,57,75,86,99,83,51,79,55,89,76,45,77,62,86,77,51,66,53,46,66,95,82,94,91,37,48,43,63,36,87,86,51,66,88,6,8
